"Project Number","Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued"
PC0147-000,Opdivo,Nivolumab,"Melanoma Adjuvant Therapy","Reimburse with clinical criteria and/or conditions",Complete,,"Mar 7, 2019"
PC0098-000,"Opdivo & Yervoy in combo","Nivolumab & Ipilimumab in combo","Metastatic Melanoma","Reimburse with clinical criteria and/or conditions",Complete,,"Nov 30, 2017"
PC0420-000,"Opdivo and Yervoy","nivolumab and ipilimumab","Unresectable or advanced hepatocellular carcinoma (HCC)","Reimburse with clinical criteria and/or conditions",Complete,"May 22, 2025","Nov 26, 2025"
PC0396-000,"Opdivo and Yervoy","nivolumab and ipilimumab","Unresectable or metastatic MSI-H or dMMR colorectal cancer","Reimburse with clinical criteria and/or conditions",Complete,"Mar 26, 2025","Oct 3, 2025"
PC0218-000,"Opdivo in combination with Yervoy","Nivolumab in combination with Ipilimumab",NSCLC,"Reimburse with clinical criteria and/or conditions",Complete,,"Mar 4, 2021"
PC0132-000,"Opdivo in combination with Yervoy","Nivolumab in combination with Ipilimumab","Advanced or Metastatic Renal Cell Carcinoma (RCC).","Reimburse with clinical criteria and/or conditions",Complete,,"Nov 1, 2018"
PC0218-000,Opdivo-Yervoy,Nivolumab-Ipilimumab,NSCLC,"Reimburse with clinical criteria and/or conditions",Complete,"Jun 23, 2020",
PC0229-000,Opdivo-Yervoy,nivolumab-ipilimumab,"Malignant Pleural Mesothelioma (MPM)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 9, 2020","Jul 16, 2021"
PC0329-000,Opdualag,"nivolumab and relatlimab","unresectable or metastatic melanoma","Reimburse with clinical criteria and/or conditions",Complete,"Jul 10, 2023","Feb 2, 2024"
SR0364-000,Opsumit,Macitentan,"Pulmonary arterial hypertension","List with clinical criteria and/or conditions",Complete,"Dec 18, 2013","Jan 28, 2015"
SR0690-000,Opsynvi,"macitentan and tadalafil","Pulmonary arterial hypertension","Reimburse with clinical criteria and/or conditions",Complete,"May 20, 2021","Dec 14, 2021"
SR0835-000,Opzelura,ruxolitinib,"Nonsegmental vitiligo","Do not reimburse",Complete,"Oct 17, 2024","Aug 7, 2025"
SR0807-000,Opzelura,ruxolitinib,"atopic dermatitis","Do not reimburse",Complete,"Oct 27, 2023","May 6, 2025"
SR0930-000,Opzelura,ruxolitinib,"atopic dermatitis",,Received,"Apr 8, 2026",
SR0290-000,Oralair,"Grass Pollen Allergen Extract","Allergic rhinitis","List with criteria/condition",Complete,"Sep 21, 2012","Mar 20, 2013"
SR0299-000,Orencia,Abatacept,"Arthritis, rheumatoid","List with clinical criteria and/or conditions",Complete,"Nov 29, 2012","Jul 18, 2013"
SR0145-000,Orencia,Abatacept,"Arthritis, Juvenile Idiopathic & Juvenile Rheumatoid","List with clinical criteria and/or conditions",Complete,"Aug 29, 2008","Apr 22, 2009"
SR0187-000,Orencia,Abatacept,"Arthritis, Rheumatoid","List in a similar manner",Complete,"Dec 2, 2009","Jun 17, 2010"
SR0084-000,Orencia,Abatacept,"Arthritis, Rheumatoid","List with clinical criteria and/or conditions",Complete,"Oct 26, 2006","Jun 27, 2007"
SR0531-000,Orfadin,nitisinone,"Hereditary tyrosinemia type 1","Reimburse with clinical criteria and/or conditions",Complete,"Aug 29, 2017","Feb 21, 2018"
PC0342-000,Orgovyx,relugolix,"Advanced prostate cancer","Reimburse with clinical criteria and/or conditions",Complete,"Nov 14, 2023","Jul 22, 2024"
